author	section	date	title	url	plethora	copious
Jerry Cornfield	news	February 9, 2022 4:00 pm	5 things Democrats didn’t say about their $17B...	https://www.mi-reporter.com/news/5-things-democrats-didnt-say-about-their-17b-transpo-plan/	0	0
Cameron Sheppard	news	February 9, 2022 2:45 pm	U.S. House passes postal service reform bill after...	https://www.mi-reporter.com/news/u-s-house-passes-postal-service-reform-bill-after-concerns-of-facility-closures-and-declining-service-standards/	0	0
	news	February 9, 2022 12:30 pm	Drill team to host clinic in March	https://www.mi-reporter.com/news/drill-team-to-host-clinic-in-march/	0	0
Andy Nystrom	news	February 8, 2022 8:20 pm	Pair of Mercer Island School District levy renewals...	https://www.mi-reporter.com/news/pair-of-mercer-island-school-district-levy-renewals-are-passing-after-early-results/	0	1
	news	February 8, 2022 1:30 pm	Passion leads to recognition	https://www.mi-reporter.com/news/passion-leads-to-recognition/	0	0
Andy Nystrom	news	February 8, 2022 1:30 pm	City council approves agenda bill regarding ARPA funds	https://www.mi-reporter.com/news/city-council-approves-agenda-bill-regarding-arpa-funds/	0	0
	news	February 8, 2022 10:30 am	Nominations are open for MIHS Pathfinder Awards	https://www.mi-reporter.com/news/nominations-are-open-for-mihs-pathfinder-awards/	0	0
Andy Nystrom	news	February 7, 2022 10:00 am	Conversations series begins with ‘Towards Inclusive Community’	https://www.mi-reporter.com/news/conversations-series-begins-with-towards-inclusive-community/	0	0
Andy Nystrom	news	February 3, 2022 2:30 pm	City council unanimously votes to adopt draft Coyote...	https://www.mi-reporter.com/news/city-council-unanimously-votes-to-adopt-draft-coyote-management-plan/	0	0
	news	February 3, 2022 10:30 am	Piazza will discuss honoring Black history with USPS...	https://www.mi-reporter.com/news/piazza-will-discuss-honoring-black-history-with-usps-stamps-at-rotary-meeting-on-feb-15/	0	0
Henry Stewart-Wood	news	February 1, 2022 11:30 am	Attorney General files lawsuit against COVID testing company	https://www.mi-reporter.com/news/attorney-general-files-lawsuit-against-covid-testing-company/	0	0
Cameron Sheppard	news	January 31, 2022 4:00 pm	Woman arrested after allegedly pulling gun on gas...	https://www.mi-reporter.com/news/woman-arrested-after-allegedly-pulling-gun-on-gas-station-employee-who-asked-her-to-wear-a-mask/	0	0
Cameron Sheppard	news	January 31, 2022 3:00 pm	After a record-breaking 2020, gun violence continues to...	https://www.mi-reporter.com/news/after-a-record-breaking-2020-gun-violence-continues-to-increase-in-king-county/	0	0
Andy Nystrom	news	January 29, 2022 8:30 am	City council to further delve into PROS Plan...	https://www.mi-reporter.com/news/city-council-to-further-delve-into-pros-plan-at-feb-15-meeting/	0	0
Andy Nystrom	news	January 28, 2022 2:30 pm	Life lessons abound during ‘Peter and the Starcatcher’...	https://www.mi-reporter.com/news/life-lessons-abound-during-peter-and-the-starcatcher-experience/	0	0
Andy Nystrom	news	January 27, 2022 4:30 pm	City launches wildlife resource page following reported coyote...	https://www.mi-reporter.com/news/city-launches-wildlife-resource-page-following-reported-coyote-activity/	0	0
Cameron Sheppard	news	January 27, 2022 1:30 pm	One of five juvenile detention center escapees apprehended	https://www.mi-reporter.com/news/one-of-five-juvenile-detention-center-escapees-apprehended/	0	0
	news	January 27, 2022 11:30 am	Shores observes Martin Luther King Jr. Day	https://www.mi-reporter.com/news/shores-observes-martin-luther-king-jr-day/	0	0
	news	January 27, 2022 10:30 am	Celebrating 20 years of MIYFS fundraising breakfasts on...	https://www.mi-reporter.com/news/celebrating-20-years-of-miyfs-fundraising-breakfasts-on-feb-9/	0	0
Andy Nystrom	news	January 26, 2022 12:30 pm	City launches Climate Action Plan community survey	https://www.mi-reporter.com/news/city-launches-climate-action-plan-community-survey/	0	0
Cameron Sheppard	news	January 26, 2022 11:30 am	King County Prosecuting Attorney’s Office testifies on behalf...	https://www.mi-reporter.com/news/king-county-prosecuting-attorneys-office-testifies-on-behalf-of-catalytic-converter-theft-bill-suggests-additional-measures/	0	0
Conor Wilson	news	January 25, 2022 1:00 pm	Local veterans face challenges with health care	https://www.mi-reporter.com/news/local-veterans-face-challenges-with-health-care/	0	0
	news	January 25, 2022 11:30 am	Playtime coming soon at Mercerdale Park	https://www.mi-reporter.com/news/playtime-coming-soon-at-mercerdale-park/	0	0
	news	January 25, 2022 10:30 am	MIHS Drama to raise the curtain on ‘Peter...	https://www.mi-reporter.com/news/mihs-drama-to-raise-the-curtain-on-peter-and-the-starcatcher/	0	0
Andy Nystrom	news	January 24, 2022 4:30 pm	MIHS students share their thoughts about attending school...	https://www.mi-reporter.com/news/mihs-students-share-their-thoughts-about-attending-school-during-the-pandemic/	0	0
Cameron Sheppard	news	January 24, 2022 1:00 pm	American Rescue Plan Act funding approved for broadband...	https://www.mi-reporter.com/news/american-rescue-plan-act-funding-approved-for-broadband-investments-in-wa-schools/	0	0
	news	January 24, 2022 8:30 am	Ng will discuss 2022 Chinese New Year at...	https://www.mi-reporter.com/news/ng-will-discuss-2022-chinese-new-year-at-rotary-meeting-on-feb-1/	0	0
Henry Stewart-Wood	news	January 22, 2022 12:16 pm	State offers free at-home COVID-19 tests	https://www.mi-reporter.com/news/state-offers-free-at-home-covid-19-tests/	0	0
	news	January 22, 2022 8:30 am	Cub scouts visit with police officers	https://www.mi-reporter.com/news/cub-scouts-visit-with-police-officers/	0	0
Steve Hunter	news	January 21, 2022 4:57 pm	Kent Democratic Sen. Mona Das proposes 1% cut...	https://www.mi-reporter.com/news/kent-democratic-sen-mona-das-proposes-1-cut-in-state-sales-tax/	0	0
	news	January 21, 2022 8:30 am	Rotary shares speech from tiny homes resident	https://www.mi-reporter.com/news/rotary-shares-speech-from-tiny-homes-resident/	0	0
Cameron Sheppard	news	January 20, 2022 2:30 pm	Non-profit sponsors study on how the pandemic impacted...	https://www.mi-reporter.com/news/non-profit-sponsors-study-on-how-the-pandemic-impacted-arts-and-culture-in-our-region/	0	0
Andy Nystrom	news	January 20, 2022 1:30 pm	CyberCycling their way to the Winter Olympics	https://www.mi-reporter.com/news/cybercycling-their-way-to-the-winter-olympics/	0	0
Reporter Staff	news	January 20, 2022 11:30 am	MISD students can receive vaccines, boosters on Jan....	https://www.mi-reporter.com/news/misd-students-can-receive-vaccines-boosters-on-jan-22-and-feb-12/	0	0
Andy Nystrom	news	January 19, 2022 5:30 pm	Challenge Success team members discuss the college admissions...	https://www.mi-reporter.com/news/challenge-success-team-members-discuss-the-college-admissions-process/	0	1
Cameron Sheppard	news	January 19, 2022 2:26 pm	WA lawmakers propose making companies responsible for recycling...	https://www.mi-reporter.com/news/wa-lawmakers-propose-making-companies-responsible-for-recycling-improvements/	0	0
Jerry Cornfield	news	January 19, 2022 2:13 pm	Inslee: Officials’ lies about election results should be...	https://www.mi-reporter.com/news/inslee-officials-lies-about-election-results-should-be-crime/	0	0
Conor Wilson	news	January 19, 2022 5:30 am	WSDOT names contractor for State Route 18 intersection...	https://www.mi-reporter.com/news/wsdot-names-contractor-for-state-route-18-intersection-project/	0	0
Andy Nystrom	news	January 18, 2022 6:00 pm	Pair of school levy renewals are on the...	https://www.mi-reporter.com/news/pair-of-school-levy-renewals-are-on-the-special-election-ballot/	0	0
	news	January 18, 2022 12:30 pm	Community conversation about diversity, equity and inclusion set...	https://www.mi-reporter.com/news/community-conversation-about-diversity-equity-and-inclusion-set-for-feb-2/	0	0
Andy Nystrom	news	January 17, 2022 7:30 am	‘It makes you feel that you’re making a...	https://www.mi-reporter.com/news/it-makes-you-feel-that-youre-making-a-difference/	0	0
	news	January 17, 2022 5:30 am	County auditor finds agencies fall short on emergency...	https://www.mi-reporter.com/news/county-auditor-finds-agencies-fall-short-on-emergency-services/	0	0
Andy Nystrom	news	January 14, 2022 3:30 pm	Search process begins for new school district superintendent	https://www.mi-reporter.com/news/search-process-begins-for-new-school-district-superintendent/	0	0
Reporter Staff	news	January 14, 2022 3:30 pm	Burglary suspects captured on resident’s video | Mercer...	https://www.mi-reporter.com/news/burglary-suspects-captured-on-residents-video-mercer-island-police-blotter/	0	0
	news	January 14, 2022 10:30 am	Reed will discuss Imagine Housing at Rotary meeting...	https://www.mi-reporter.com/news/reed-will-discuss-imagine-housing-at-rotary-meeting-on-jan-18/	0	0
Andy Nystrom	news	January 13, 2022 4:30 pm	School district to offer Zoom kindergarten information nights	https://www.mi-reporter.com/news/school-district-to-offer-zoom-kindergarten-information-nights/	0	0
